country_code,ndc_version,blue_carbon_included,unconditional_ecosystems,conditional_ecosystems,unconditional_target_desc,conditional_target_desc,intervention_type,target_type,targets,domestic_pricing,market_status
IDN,2nd NDC (submitted 24 Oct 2025),True,"[""Mangroves"", ""Seagrass"", ""Salt marshes""]","[""Mangroves"", ""Seagrass"", ""Salt marshes""]","Absolute target: 1.49 GtCO₂e by 2030 (peak), declining to 1.49 GtCO₂e by 2035 (baseline 2019).",1.35 GtCO₂e by 2030 / 1.26 GtCO₂e by 2035 with international support; 8–17.5% lower than previous Enhanced NDC.,Conservation + Restoration,Both,31.89% unconditional / 43.20% conditional vs 2010 BAU; economy-wide absolute target 2019-baseline (SNDC).,ETS & Carbon Tax (PR 110/2025 NEK),Operational
BRA,NDC 3.0 (2025),True,"[""Mangroves"", ""Corals""]","[""Mangroves"", ""Corals""]",59%–67% reduction from 2005 levels by 2035; ProManguezal coastal focus.,,Conservation + Restoration,Unconditional,59%–67% reduction from 2005 by 2035; ProManguezal focus.,ETS (in development),Under Development
KEN,NDC 3.0 (2025),True,"[""Mangroves"", ""Seagrass""]","[""Mangroves"", ""Seagrass""]",20% reduction from 2022 BAU (unconditional).,Up to 35% reduction from 2022 BAU with international support.,Conservation + Restoration,Both,35% reduction from 2022 BAU (20% unconditional).,Carbon Market Regulations,Operational
VNM,Updated NDC (2022),True,"[""Mangroves"", ""Seagrass""]","[""Mangroves"", ""Seagrass""]",15.8% reduction from BAU using domestic resources.,43.5% reduction from BAU with international support.,Conservation + Restoration,Both,15.8% unconditional / 43.5% conditional from BAU.,ETS (planned),Pilot / Planned
AUS,Updated NDC (2022),True,"[""Mangroves"", ""Saltmarsh"", ""Seagrass""]","[""Mangroves"", ""Saltmarsh"", ""Seagrass""]",43% reduction below 2005 levels by 2030.,,Mitigation,Unconditional,43% reduction below 2005 by 2030.,Safeguard Mechanism (ETS),Operational
USA,Updated NDC (2021),True,"[""Mangroves"", ""Tidal marshes""]","[""Mangroves"", ""Tidal marshes""]",50–52% reduction from 2005 levels by 2030.,,Conservation + Restoration,Unconditional,50–52% reduction from 2005 by 2030.,Regional ETS (RGGI / WCI),Operational (Subnational)
CHN,Updated NDC (2021),True,"[""Mangroves"", ""Seagrass""]","[""Mangroves"", ""Seagrass""]",Technical specs issued for mangrove/seagrass carbon survey; expanded national ETS scope.,,Mitigation,Unconditional,National ETS expanded 2025; mangrove/seagrass MRV technical specs issued.,National ETS,Operational (Expanded 2025)
SYC,Updated NDC (2021),True,"[""Seagrass"", ""Mangroves""]","[""Seagrass"", ""Mangroves""]",100% protection of seagrass and mangroves by 2030.,,Conservation,Unconditional,100% protection of seagrass and mangroves by 2030.,None,No current market
GBR,NDC 3.0 (2025),True,"[""Saltmarshes""]","[""Saltmarshes""]",81% reduction from 1990 levels by 2035.,,Conservation + Restoration,Unconditional,81% reduction from 1990 by 2035.,UK ETS,Operational
CRI,NDC 2025–2035 (2025),True,"[""Mangroves"", ""Peatlands""]","[""Mangroves"", ""Peatlands""]",Explicit peatland mitigation activities; coastal wetland protection.,,Conservation + Restoration,Unconditional,Explicit peatland mitigation; coastal protection.,Carbon Tax,Operational
KOR,2035 NDC (2025),True,"[""Coastal wetlands""]","[""Coastal wetlands""]",Absolute emission reduction targets; includes blue carbon sink expansion.,,Mitigation,Unconditional,2035 absolute reduction; blue carbon sink expansion.,National ETS (K-ETS),Operational
