country_code,country_name,map_cx,map_cy
AFG,Afghanistan,789.4,159.1
ALA,Åland Islands,639.7,74.5
ALB,Albania,639.4,134.2
DZA,Algeria,582.7,174.7
ASM,American Samoa,6.0,306.3
AND,Andorra,578.0,129.6
AGO,Angola,632.7,299.1
AIA,Anguilla,362.4,205.2
ATA,Antarctica,572.7,526.2
ATG,Antigua and Barbuda,366.7,208.6
ARG,Argentina,359.4,367.6
ARM,Armenia,722.7,137.4
ABW,Aruba,339.4,222.9
AUS,Australia,1016.0,345.8
AUT,Austria,617.0,114.6
AZE,Azerbaijan,731.0,135.8
BHS,The Bahamas,319.4,186.2
BHR,Bahrain,741.4,180.9
BGD,Bangladesh,872.7,187.1
BRB,Barbados,374.4,220.7
BLR,Belarus,666.0,96.9
BEL,Belgium,587.7,103.8
BLZ,Belize,277.7,208.0
BEN,Benin,580.4,232.9
BMU,Bermuda,356.7,161.3
BTN,Bhutan,874.4,176.2
BOL,Bolivia (Plurinational State of),356.0,314.7
BES,"Bonaire, Sint Eustatius and Saba",345.0,223.8
BIH,Bosnia and Herzegovina,631.0,124.9
BWA,Botswana,652.7,330.2
BVT,Bouvet Island,584.0,431.0
BRA,Brazil,396.0,292.9
IOT,British Indian Ocean Territory,812.4,281.4
VGB,"Virgin Islands, British",357.4,204.6
BRN,Brunei Darussalam,955.0,247.8
BGR,Bulgaria,656.0,128.0
BFA,Burkina Faso,566.0,221.4
BDI,Burundi,672.7,272.7
CPV,Cabo Verde,492.7,212.0
KHM,Cambodia,922.7,221.4
CMR,Cameroon,612.7,243.1
CAN,Canada,252.7,75.1
CYM,Cayman Islands,304.4,201.1
CAF,Central African Republic,642.7,240.0
TCD,Chad,636.0,215.1
CHL,Chile,336.0,355.1
CHN,China,922.7,152.9
HKG,"China, Hong Kong Special Administrative Region",953.4,192.4
MAC,"China, Macao Special Administrative Region",951.4,192.7
CXR,Christmas Island,925.0,294.5
CCK,Cocos (Keeling) Islands,895.4,299.8
