country,ecosystem,activity,activity_type,project_size_filter,project_size_ha,price_type,country_size_ha,country_code,base_size,project_name,total_cost_npv,total_cost,total_weighted_cost_npv,total_weighted_cost,capex_npv,capex,opex_npv,opex,country_abatement_potential,project_abatement_potential,cost_per_tco2e,cost_per_tco2e_npv,feasibility_analysis_npv,feasibility_analysis,conservation_planning_npv,conservation_planning,data_collection_npv,data_collection,community_representation_npv,community_representation,blue_carbon_project_planning_npv,blue_carbon_project_planning,establishing_carbon_rights_npv,establishing_carbon_rights,validation_npv,validation,implementation_labor_npv,implementation_labor,monitoring_maintenance_npv,monitoring_maintenance,community_benefit_npv,community_benefit,carbon_standard_fees_npv,carbon_standard_fees,baseline_reassessment_npv,baseline_reassessment,mrv_npv,mrv,long_term_project_operating_npv,long_term_project_operating,initial_price_assumption,leftover_after_opex,leftover_after_opex_npv,total_revenue,total_revenue_npv,credits_issued,monitoring_npv,maintenance_npv,monitoring,maintenance
United States,Mangrove,Restoration,Planting,Small,100,Opex breakeven,947084624.2706754,USA,500,United States Mangrove Restoration Planting Small,5561095,7574527,0.005871803698938151,0.007997729881670227,2732701,2990267,2828394,4584260,166593,20682,336,336,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,1256774,1413700,808225,1210284,141420,238667,1999,3309,75812,120000,223062,400000,1577877,2612000,245.8387477215931,189088,0,4773348,2828394,16546,517703,290522,857000,353284
United States,Mangrove,Restoration,Hydrology,Small,100,Opex breakeven,947084624.2706754,USA,500,United States Mangrove Restoration Hydrology Small,16180950,19759624,0.0170850097080401,0.02086363086637201,11273022,12596967,4907928,7162657,166593,34470,587,587,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,9797095,11020400,2782449,3610998,245396,414144,3332,5515,75812,120000,223062,400000,1577877,2612000,255.9527400930238,1120221,0,8282878,4907928,27576,517703,2264746,857000,2753998
United States,Mangrove,Restoration,Hybrid,Small,100,Opex breakeven,947084624.2706754,USA,500,United States Mangrove Restoration Hybrid Small,15338035,18792530,0.01619499948255565,0.01984250352968366,10595073,11834367,4742961,6958163,166593,34470,556,556,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,9119147,10257800,2625731,3420424,237148,400224,3332,5515,75812,120000,223062,400000,1577877,2612000,247.3495993095017,1046309,0,8004472,4742961,27576,517703,2108028,857000,2563424
United States,Mangrove,Restoration,Planting,Small,100,Market price,947084624.2706754,USA,500,United States Mangrove Restoration Planting Small,5436933,7364984,0.005740704537555804,0.007776479325352343,2732701,2990267,2704232,4374718,166593,20682,329,329,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,1256774,1413700,808225,1210284,17258,29125,1999,3309,75812,120000,223062,400000,1577877,2612000,30,-3792221,-2359080,582497,345152,16546,517703,290522,857000,353284
United States,Mangrove,Restoration,Hydrology,Small,100,Market price,947084624.2706754,USA,500,United States Mangrove Restoration Hydrology Small,15964316,19394021,0.01685627196439145,0.02047760094820969,11273022,12596967,4691294,6797055,166593,34470,579,579,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,9797095,11020400,2782449,3610998,28763,48541,3332,5515,75812,120000,223062,400000,1577877,2612000,30,-5826226,-4116040,970829,575254,27576,517703,2264746,857000,2753998
United States,Mangrove,Restoration,Hybrid,Small,100,Market price,947084624.2706754,USA,500,United States Mangrove Restoration Hybrid Small,15129649,18440848,0.01597497056997514,0.01947117240362846,10595073,11834367,4534576,6606481,166593,34470,549,549,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,9119147,10257800,2625731,3420424,28763,48541,3332,5515,75812,120000,223062,400000,1577877,2612000,30,-5635652,-3959322,970829,575254,27576,517703,2108028,857000,2563424
United States,Mangrove,Restoration,Planting,Medium,500,Opex breakeven,947084624.2706754,USA,500,United States Mangrove Restoration Planting Medium,11669239,14760062,0.012321221040819,0.01558473405833859,7638954,8645067,4030286,6114996,166593,100824,145,145,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,6163027,7068500,1942380,2623418,201514,343446,9641,16132,75812,120000,223062,400000,1577877,2612000,72.31678626251528,753919,0,6868915,4030286,80659,517703,1424677,857000,1766418
United States,Mangrove,Restoration,Hydrology,Medium,500,Opex breakeven,947084624.2706754,USA,500,United States Mangrove Restoration Hydrology Medium,63747260,75676890,0.06730893772992046,0.07990509829919026,49519375,56678567,14227884,18998323,166593,168040,474,474,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,48043449,55102000,11623671,14626990,711394,1212447,16069,26886,75812,120000,223062,400000,1577877,2612000,153.1774595828782,5250612,0,24248935,14227884,134432,517703,11105968,857000,13769990
United States,Mangrove,Restoration,Hybrid,Medium,500,Opex breakeven,947084624.2706754,USA,500,United States Mangrove Restoration Hybrid Medium,59613734,70842084,0.06294446396055363,0.0748001627146609,46194820,52865567,13418915,17976517,166593,168040,443,443,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,44718893,51289000,10855150,13674121,670946,1143509,16069,26886,75812,120000,223062,400000,1577877,2612000,144.4680887082234,4893671,0,22870188,13418915,134432,517703,10337447,857000,12817121
United States,Mangrove,Restoration,Planting,Medium,500,Market price,947084624.2706754,USA,500,United States Mangrove Restoration Planting Medium,11551321,14559092,0.0121967147433054,0.01537253549144203,7638954,8645067,3912368,5914026,166593,100824,143,143,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,6163027,7068500,1942380,2623418,83596,142476,9641,16132,75812,120000,223062,400000,1577877,2612000,30,-3064515,-2240438,2849511,1671930,80659,517703,1424677,857000,1766418
United States,Mangrove,Restoration,Hydrology,Medium,500,Market price,947084624.2706754,USA,500,United States Mangrove Restoration Hydrology Medium,63175193,74701902,0.06670490828488482,0.0788756359100708,49519375,56678567,13655818,18023335,166593,168040,470,470,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,48043449,55102000,11623671,14626990,139327,237459,16069,26886,75812,120000,223062,400000,1577877,2612000,30,-13274150,-10869269,4749185,2786549,134432,517703,11105968,857000,13769990
United States,Mangrove,Restoration,Hybrid,Medium,500,Market price,947084624.2706754,USA,500,United States Mangrove Restoration Hybrid Medium,59082116,69936033,0.06238314347622057,0.0738434889636772,46194820,52865567,12887296,17070467,166593,168040,439,439,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,44718893,51289000,10855150,13674121,139327,237459,16069,26886,75812,120000,223062,400000,1577877,2612000,30,-12321282,-10100747,4749185,2786549,134432,517703,10337447,857000,12817121
United States,Mangrove,Restoration,Planting,Large,1000,Opex breakeven,947084624.2706754,USA,500,United States Mangrove Restoration Planting Large,18839503,23817230,0.01989210099837467,0.02514794284443274,13413981,15793567,5425522,8023663,166593,191307,123,123,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,11861092,14137000,3259573,4389836,271276,471218,17922,30609,75812,120000,223062,400000,1577877,2612000,51.94083338444263,1400696,0,9424359,5425522,153046,517703,2741870,857000,3532836
United States,Mangrove,Restoration,Hydrology,Large,1000,Opex breakeven,947084624.2706754,USA,500,United States Mangrove Restoration Hydrology Large,119066137,145616287,0.1257185830587099,0.153752139215791,94015207,111860567,25050930,33755721,166593,318846,467,467,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,92462318,110204000,21891762,28396980,1252546,2175726,29870,51015,75812,120000,223062,400000,1577877,2612000,143.8939308920546,9758791,0,43514512,25050930,255077,517703,21374059,857000,27539980
United States,Mangrove,Restoration,Hybrid,Large,1000,Opex breakeven,947084624.2706754,USA,500,United States Mangrove Restoration Hybrid Large,111110935,135949329,0.117318909158264,0.143545070330638,87616913,104234567,23494022,31714762,166593,318846,436,436,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,86064024,102578000,20412700,26491242,1174701,2040505,29870,51015,75812,120000,223062,400000,1577877,2612000,134.950966986269,9095337,0,40810099,23494022,255077,517703,19894997,857000,25634242
United States,Mangrove,Restoration,Planting,Large,1000,Market price,947084624.2706754,USA,500,United States Mangrove Restoration Planting Large,18724911,23618178,0.01977110653065406,0.02493776943975596,13413981,15793567,5310930,7824612,166593,191307,122,122,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,11861092,14137000,3259573,4389836,156684,272166,17922,30609,75812,120000,223062,400000,1577877,2612000,30,-2381288,-2177256,5443324,3133674,153046,517703,2741870,857000,3532836
United States,Mangrove,Restoration,Hydrology,Large,1000,Market price,947084624.2706754,USA,500,United States Mangrove Restoration Hydrology Large,118074730,143894172,0.1246717843095871,0.1519338064545278,94015207,111860567,24059523,32033605,166593,318846,463,463,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,92462318,110204000,21891762,28396980,261140,453610,29870,51015,75812,120000,223062,400000,1577877,2612000,30,-22961399,-18836732,9072206,5222791,255077,517703,21374059,857000,27539980
United States,Mangrove,Restoration,Hybrid,Large,1000,Market price,947084624.2706754,USA,500,United States Mangrove Restoration Hybrid Large,110197373,134362434,0.1163543047537701,0.1418695125617406,87616913,104234567,22580461,30127868,166593,318846,432,432,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,86064024,102578000,20412700,26491242,261140,453610,29870,51015,75812,120000,223062,400000,1577877,2612000,30,-21055662,-17357670,9072206,5222791,255077,517703,19894997,857000,25634242
United States,Mangrove,Conservation,,Small,4000,Opex breakeven,947084624.2706754,USA,20000,United States Mangrove Conservation  Small,4051565,5897409,0.004277933456178746,0.006226908186310634,1475926,1576567,2575639,4320842,1717203,593433,9,9,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,517703,857000,128782,236893,52404,94949,75812,120000,223062,400000,1577877,2612000,8.241885278142687,417021,0,4737863,2575639,474746,517703,0,857000,0
United States,Mangrove,Conservation,,Small,4000,Market price,947084624.2706754,USA,20000,United States Mangrove Conservation  Small,4391542,6522794,0.00463690560215969,0.006887234606963479,1475926,1576567,2915616,4946227,1717203,593433,9,9,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,517703,857000,468759,862278,52404,94949,75812,120000,223062,400000,1577877,2612000,30,12299328,6459565,17245555,9375181,474746,517703,0,857000,0
United States,Mangrove,Conservation,,Medium,20000,Opex breakeven,947084624.2706754,USA,20000,United States Mangrove Conservation  Medium,4272212,6297500,0.004510908413585446,0.006649353013042036,1475926,1576567,2796286,4720933,1717203,2967165,2,2,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,517703,857000,139814,257187,262018,474746,75812,120000,223062,400000,1577877,2612000,1.789588287378787,422807,0,5143740,2796286,2373732,517703,0,857000,0
United States,Mangrove,Conservation,,Medium,20000,Market price,947084624.2706754,USA,20000,United States Mangrove Conservation  Medium,6476193,10351702,0.006838029922602897,0.010930070803305,1475926,1576567,5000267,8775135,1717203,2967165,3,3,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,517703,857000,2343795,4311389,262018,474746,75812,120000,223062,400000,1577877,2612000,30,77452639,41875640,86227774,46875907,2373732,517703,0,857000,0
United States,Mangrove,Conservation,,Large,40000,Opex breakeven,947084624.2706754,USA,20000,United States Mangrove Conservation  Large,5918079,8832443,0.006248733057573767,0.009325927983258759,1885803,2013083,4032276,6819359,1717203,5934329,1,1,100000,100000,786949,833833,153925,160000,526574,569250,88900,100000,185006,200000,44450,50000,0,0,1035406,1714000,201614,370867,524036,949493,75812,120000,223062,400000,1972346,3265000,1.290303216490297,597973,0,7417332,4032276,4747464,1035406,0,1714000,0
