country_code,lat,lng
ABW,12.5,-70.0
AFG,33.0,65.0
AGO,-12.0,18.0
AIA,18.2,-63.1
ALA,60.2,20.1
ALB,41.0,20.0
AND,42.5,1.6
ARE,24.0,54.0
ARG,-34.0,-64.0
ARM,40.0,45.0
ASM,-14.3,-170.0
ATA,-85.0,0.0
ATF,-49.0,69.0
ATG,17.1,-61.8
AUS,-27.0,133.0
AUT,47.3,13.3
AZE,40.5,47.5
BDI,-3.5,30.0
BEL,50.8,4.5
BEN,9.3,2.3
BES,12.2,-68.3
BFA,13.0,-2.0
BGD,24.0,90.0
BGR,43.0,25.0
BHR,26.0,50.6
BHS,24.3,-76.0
BIH,44.0,17.5
BLM,17.9,-62.8
BLR,53.0,28.0
BLZ,17.3,-88.5
BMU,32.3,-64.8
BOL,-17.0,-65.0
BRA,-10.0,-53.0
BRB,13.2,-59.5
BRN,4.5,114.7
BTN,27.5,90.5
BVT,-54.4,3.4
BWA,-22.0,24.0
CAF,7.0,21.0
CAN,60.0,-96.0
CCK,-12.2,96.8
CHE,47.0,8.0
CHL,-30.0,-71.0
CHN,35.0,105.0
CIV,7.5,-5.5
CMR,6.0,12.0
COD,-4.0,25.0
COG,-1.0,15.8
COK,-21.2,-159.8
COL,4.0,-74.0
COM,-11.6,43.3
CPV,16.0,-24.0
CRI,10.0,-84.0
CUB,22.0,-79.0
CUW,12.2,-69.0
CXR,-10.5,105.7
CYM,19.5,-80.5
CYP,35.0,33.0
CZE,50.0,15.5
DEU,51.0,10.0
DJI,11.5,43.0
DMA,15.4,-61.4
DNK,56.0,10.0
DOM,19.0,-70.7
DZA,28.0,3.0
ECU,-2.0,-77.5
EGY,27.0,30.0
ERI,15.0,39.0
ESH,24.5,-13.0
ESP,40.0,-4.0
EST,59.0,25.0
ETH,8.0,38.0
FIN,64.0,26.0
FJI,-18.0,178.0
FLK,-51.8,-59.5
FRA,46.0,2.0
FRO,62.0,-7.0
FSM,7.0,150.0
GAB,-1.0,11.8
GBR,54.0,-2.0
GEO,42.0,43.5
GGY,49.5,-2.6
GHA,8.0,-1.0
GIB,36.1,-5.3
GIN,11.0,-11.0
GLP,16.3,-61.6
GMB,13.5,-15.5
GNB,12.0,-15.0
GNQ,2.0,10.0
GRC,39.0,22.0
GRD,12.1,-61.7
GRL,72.0,-40.0
GTM,15.5,-90.3
GUF,4.0,-53.0
GUM,13.5,144.8
GUY,5.0,-59.0
HKG,22.3,114.2
HMD,-53.1,73.5
HND,15.0,-86.5
HRV,45.2,15.5
HTI,19.0,-72.4
HUN,47.0,19.0
IDN,-2.0,118.0
IMN,54.2,-4.5
IND,20.0,78.0
IOT,-6.3,71.9
IRL,53.0,-8.0
IRN,32.0,53.0
IRQ,33.0,44.0
ISL,65.0,-18.0
ISR,31.5,35.0
ITA,42.8,12.8
JAM,18.1,-77.3
JEY,49.2,-2.1
JOR,31.0,36.0
JPN,36.0,138.0
KAZ,48.0,68.0
KEN,1.0,38.0
KGZ,41.2,75.0
KHM,13.0,105.0
KIR,1.4,173.0
KNA,17.3,-62.7
KOR,37.0,127.5
KWT,29.5,47.8
LAO,18.0,103.0
LBN,33.9,35.5
LBR,6.4,-9.4
LBY,25.0,17.0
LCA,13.9,-60.9
LIE,47.1,9.6
LKA,7.9,80.7
LSO,-29.6,28.2
LTU,56.0,24.0
LUX,49.8,6.1
LVA,57.0,25.0
MAC,22.2,113.6
MAF,18.1,-63.1
MAR,32.0,-5.0
MCO,43.7,7.4
MDA,47.0,29.0
MDG,-20.0,47.0
MDV,3.2,73.0
MEX,23.6,-102.0
MHL,7.1,171.2
MKD,41.8,22.0
MLI,17.0,-4.0
MLT,35.9,14.5
MMR,19.3,96.7
MNE,42.7,19.4
MNG,46.8,103.8
MNP,15.2,145.8
MOZ,-18.0,35.0
MRT,20.0,-12.0
MSR,16.7,-62.2
MTQ,14.7,-61.0
MUS,-20.3,57.6
MWI,-13.5,34.0
MYS,2.5,112.0
MYT,-12.8,45.2
NAM,-22.0,17.0
NCL,-21.5,165.6
NER,17.0,8.0
NFK,-29.1,167.9
NGA,10.0,8.0
NIC,13.0,-85.0
NIU,-19.0,-169.9
NLD,52.3,5.3
NOR,64.0,10.0
NPL,28.0,84.0
NRU,-0.5,166.9
NZL,-41.0,174.0
OMN,21.0,57.0
PAK,30.0,70.0
PAN,9.0,-80.0
PCN,-25.1,-130.1
PER,-10.0,-76.0
PHL,13.0,122.0
PLW,7.5,134.6
PNG,-6.0,147.0
POL,52.0,20.0
PRI,18.2,-66.5
PRK,40.0,127.0
PRT,39.5,-8.0
PRY,-23.0,-58.0
PSE,31.9,35.2
PYF,-15.0,-140.0
QAT,25.3,51.2
REU,-21.1,55.5
ROU,46.0,25.0
RUS,60.0,100.0
RWA,-2.0,30.0
SAU,24.0,45.0
SDN,15.0,30.0
SEN,14.5,-14.5
SGP,1.3,103.8
SGS,-54.5,-37.0
SHN,-15.9,-5.7
SJM,78.0,15.0
SLB,-9.0,160.0
SLE,8.5,-11.5
SLV,13.8,-88.9
SMR,43.9,12.5
SOM,6.0,46.0
SPM,46.9,-56.3
SRB,44.0,21.0
SSD,7.5,30.0
STP,1.0,7.0
SUR,4.0,-56.0
SVK,48.7,19.7
SVN,46.1,14.8
SWE,62.0,15.0
SWZ,-26.5,31.5
SXM,18.1,-63.1
SYC,-4.7,55.5
SYR,35.0,38.0
TCA,21.8,-71.9
TCD,15.0,19.0
TGO,8.0,1.2
THA,15.0,101.0
TJK,39.0,71.0
TKL,-9.0,-172.0
TKM,40.0,60.0
TLS,-8.9,125.7
TON,-20.0,-175.0
TTO,10.7,-61.2
TUN,34.0,9.0
TUR,39.0,35.0
TUV,-8.0,178.0
TWN,23.7,121.0
TZA,-6.0,35.0
UGA,1.3,32.0
UKR,49.0,32.0
UMI,5.0,-162.0
URY,-33.0,-56.0
USA,38.0,-97.0
